round_id,event_type,severity,blue_action,pre_sla,post_event_sla,post_action_sla,recovery_delta,red_success_score,blue_defense_score,total_utility,action_match,false_positive
1,TRAFFIC_SPIKE,0.71,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
2,TRAFFIC_SPIKE,0.46,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
3,TRAFFIC_SPIKE,0.56,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
4,TRAFFIC_SPIKE,0.54,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
5,TRAFFIC_SPIKE,0.74,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
6,TRAFFIC_SPIKE,0.72,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
7,TRAFFIC_SPIKE,0.81,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
8,TRAFFIC_SPIKE,0.48,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
9,TRAFFIC_SPIKE,0.62,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
10,TRAFFIC_SPIKE,0.46,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
11,TRAFFIC_SPIKE,0.54,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
12,TRAFFIC_SPIKE,0.65,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
13,TRAFFIC_SPIKE,0.46,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
14,TRAFFIC_SPIKE,0.53,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
15,TRAFFIC_SPIKE,0.71,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
16,TRAFFIC_SPIKE,0.67,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
17,TRAFFIC_SPIKE,0.54,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
18,TRAFFIC_SPIKE,0.69,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
19,TRAFFIC_SPIKE,0.77,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
20,TRAFFIC_SPIKE,0.45,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
21,AUTH_ANOMALY,0.77,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
22,AUTH_ANOMALY,0.73,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
23,AUTH_ANOMALY,0.59,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
24,AUTH_ANOMALY,0.51,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
25,AUTH_ANOMALY,0.83,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
26,AUTH_ANOMALY,0.58,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
27,AUTH_ANOMALY,0.49,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
28,AUTH_ANOMALY,0.49,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
29,AUTH_ANOMALY,0.79,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
30,AUTH_ANOMALY,0.69,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
31,AUTH_ANOMALY,0.77,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
32,AUTH_ANOMALY,0.74,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
33,AUTH_ANOMALY,0.66,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
34,AUTH_ANOMALY,0.84,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
35,AUTH_ANOMALY,0.6,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
