round_id,sequence_name,event_type,severity,blue_action,pre_sla,post_event_sla,post_action_sla,rolling_sla_10,rolling_sla_50,recovery_delta,red_success_score,blue_defense_score,total_utility,action_match,false_positive,recovery_failed,hard_mode_note
1,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.83,RESTART_SERVICE,100.0,0.0,100.0,100.0,100.0,100.0,45.0,98.75,59.51,True,False,False,local pressure=1; repeated anomaly pressure; higher simulated action cost=26.0
2,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.86,RESTART_SERVICE,50.0,0.0,0.0,50.0,50.0,0.0,65.0,88.82,21.54,True,False,True,local pressure=2; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
3,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.74,RESTART_SERVICE,25.0,0.0,0.0,33.33,33.33,0.0,65.0,88.82,21.54,True,False,True,local pressure=3; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
4,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.7,ISOLATE_TELEMETRY_STREAM,16.67,0.0,0.0,25.0,25.0,0.0,45.0,91.92,36.35,True,False,True,local pressure=4; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
5,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.88,ISOLATE_TELEMETRY_STREAM,12.5,0.0,0.0,20.0,20.0,0.0,38.75,92.46,42.27,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
6,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.79,ISOLATE_TELEMETRY_STREAM,10.0,0.0,0.0,16.67,16.67,0.0,35.0,92.46,45.71,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
7,MIXED_SAFE_SEQUENCE,TRAFFIC_SPIKE,0.81,APPLY_RATE_LIMIT,8.33,0.0,0.0,14.29,14.29,0.0,20.0,93.5,54.3,True,False,True,local pressure=5; partial/delayed recovery
8,MIXED_SAFE_SEQUENCE,AUTH_ANOMALY,0.69,BLOCK_SUSPICIOUS_TOKEN,7.14,100.0,100.0,25.0,25.0,0.0,0.0,100.0,71.3,True,False,False,local pressure=5
9,MIXED_SAFE_SEQUENCE,MISSION_COMMAND_ANOMALY,0.69,ESCALATE_ALERT,18.75,100.0,100.0,33.33,33.33,0.0,0.0,100.0,71.5,True,False,False,local pressure=5
10,MIXED_SAFE_SEQUENCE,SERVICE_DEGRADATION,0.7,RESTART_SERVICE,27.78,0.0,0.0,30.0,30.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
