round_id,event_type,severity,commander_mode,blue_action,pre_sla,post_event_sla,post_action_sla,sla_delta,recovery_delta,red_success_score,blue_defense_score,sla_preservation_score,recovery_score,false_positive_penalty,action_cost,total_utility
1,LOG_NOISE,0.3,BALANCED,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
2,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
3,TRAFFIC_SPIKE,0.59,RED_EXPLORATION,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,6.0,71.4
4,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
5,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
6,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
7,AUTH_ANOMALY,0.61,RED_EXPLORATION,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,7.0,71.3
8,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
9,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
10,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
11,SERVICE_DEGRADATION,0.42,RED_EXPLORATION,RESTART_SERVICE,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,14.0,70.6
12,TELEMETRY_INCONSISTENCY,0.3,RED_EXPLORATION,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,10.0,71.0
13,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
14,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
15,SERVICE_DEGRADATION,0.52,RED_EXPLORATION,RESTART_SERVICE,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,14.0,70.6
16,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
17,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
18,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
19,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
20,AUTH_ANOMALY,0.64,RED_EXPLORATION,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,7.0,71.3
21,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
22,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
23,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
24,TELEMETRY_INCONSISTENCY,0.35,RED_EXPLORATION,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,10.0,71.0
25,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
26,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
27,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
28,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
29,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
30,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
31,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
32,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
33,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
34,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
35,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
36,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
37,LOG_NOISE,0.3,RED_EXPLORATION,OBSERVE_ONLY,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,80.0,0.0,0.0,72.0
