round_id,sequence_name,step_id,event_type,severity,blue_action,pre_sla,post_event_sla,post_action_sla,recovery_delta,red_success_score,blue_defense_score,total_utility,action_match,false_positive
1,MIXED_TRAFFIC_AUTH,1,TRAFFIC_SPIKE,0.63,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
2,MIXED_TRAFFIC_AUTH,2,AUTH_ANOMALY,0.55,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
3,MIXED_TRAFFIC_AUTH,3,TRAFFIC_SPIKE,0.71,APPLY_RATE_LIMIT,100.0,100.0,100.0,0.0,0.0,100.0,71.4,True,False
4,MIXED_TRAFFIC_AUTH,4,AUTH_ANOMALY,0.64,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False
5,SLOW_BURN_DEGRADATION,1,SERVICE_DEGRADATION,0.49,RESTART_SERVICE,100.0,100.0,100.0,0.0,0.0,100.0,70.6,True,False
6,SLOW_BURN_DEGRADATION,2,SERVICE_DEGRADATION,0.59,RESTART_SERVICE,100.0,100.0,100.0,0.0,0.0,100.0,70.6,True,False
7,SLOW_BURN_DEGRADATION,3,SERVICE_DEGRADATION,0.74,RESTART_SERVICE,100.0,0.0,100.0,100.0,45.0,100.0,62.35,True,False
8,SLOW_BURN_DEGRADATION,4,SERVICE_DEGRADATION,0.84,RESTART_SERVICE,92.86,0.0,100.0,100.0,45.0,100.0,62.35,True,False
9,TELEMETRY_DRIFT,1,TELEMETRY_INCONSISTENCY,0.42,ISOLATE_TELEMETRY_STREAM,87.5,100.0,100.0,0.0,0.0,100.0,71.0,True,False
10,TELEMETRY_DRIFT,2,TELEMETRY_INCONSISTENCY,0.53,ISOLATE_TELEMETRY_STREAM,88.89,100.0,100.0,0.0,0.0,100.0,71.0,True,False
11,TELEMETRY_DRIFT,3,TELEMETRY_INCONSISTENCY,0.68,ISOLATE_TELEMETRY_STREAM,90.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False
12,TELEMETRY_DRIFT,4,TELEMETRY_INCONSISTENCY,0.84,ISOLATE_TELEMETRY_STREAM,90.91,0.0,100.0,100.0,25.0,100.0,67.75,True,False
13,COMMAND_BURST,1,MISSION_COMMAND_ANOMALY,0.49,ESCALATE_ALERT,87.5,100.0,100.0,0.0,0.0,100.0,71.5,True,False
14,COMMAND_BURST,2,MISSION_COMMAND_ANOMALY,0.6,ESCALATE_ALERT,88.46,100.0,100.0,0.0,0.0,100.0,71.5,True,False
15,COMMAND_BURST,3,MISSION_COMMAND_ANOMALY,0.73,ESCALATE_ALERT,89.29,100.0,100.0,0.0,0.0,100.0,71.5,True,False
16,COMMAND_BURST,4,MISSION_COMMAND_ANOMALY,0.82,ESCALATE_ALERT,90.0,100.0,100.0,0.0,0.0,100.0,71.5,True,False
17,NOISE_THEN_ATTACK,1,LOG_NOISE,0.16,OBSERVE_ONLY,90.62,100.0,100.0,0.0,0.0,100.0,72.0,True,False
18,NOISE_THEN_ATTACK,2,LOG_NOISE,0.23,OBSERVE_ONLY,91.18,100.0,100.0,0.0,0.0,100.0,72.0,True,False
19,NOISE_THEN_ATTACK,3,TRAFFIC_SPIKE,0.7,APPLY_RATE_LIMIT,91.67,100.0,100.0,0.0,0.0,100.0,71.4,True,False
20,NOISE_THEN_ATTACK,4,AUTH_ANOMALY,0.69,BLOCK_SUSPICIOUS_TOKEN,92.11,100.0,100.0,0.0,0.0,100.0,71.3,True,False
